"Note: A 2% flat Payment Fee applies to all categories and is included in the final commission fee listed under the column ""Total Fee with Payment and VAT"".",,,,,,,,,,,,,,
Category,Sub-category 1,Sub-category 2,Sub-category 3,Sub-category 4,Commission,Total Fee with Payment and VAT,,,,,,,,
Groceries,Laundry & Household,Paper,Toilet Paper,,4.28%,7.10%,,,,,,,,
Groceries,Laundry & Household,Paper,Kitchen Roll,,4.28%,7.10%,,,,,,,,
Groceries,Laundry & Household,Pest Control,Insect Baits,,4.99%,7.90%,,,,,,,,
Groceries,Laundry & Household,Pest Control,Others,,4.99%,7.90%,,,,,,,,
Groceries,Laundry & Household,Pest Control,Insecticide Devices,,4.99%,7.90%,,,,,,,,
Groceries,Laundry & Household,Pest Control,Insecticide Sprays,,4.99%,7.90%,,,,,,,,
Groceries,Laundry & Household,Pest Control,Insecticide Coil,,4.99%,7.90%,,,,,,,,
Groceries,Snacks,Biscuit & Cookies,,,3.99%,6.77%,,,,,,,,
Groceries,Snacks,Breadsticks,,,3.99%,6.77%,,,,,,,,
Groceries,Snacks,Chips,,,3.99%,6.77%,,,,,,,,
Groceries,Snacks,Chips & Crisps,,,3.99%,6.77%,,,,,,,,
Groceries,Snacks,Cookies,,,3.99%,6.77%,,,,,,,,
Groceries,Snacks,Crackers,,,3.99%,6.77%,,,,,,,,
Groceries,Snacks,Dips,,,5.99%,9.03%,,,,,,,,
Groceries,Snacks,Dried Fruit & Vegetable Chips,,,3.99%,6.77%,,,,,,,,
Groceries,Snacks,Indian Snacks,,,3.99%,6.77%,,,,,,,,
Groceries,Snacks,Local Specialty,,,5.99%,9.03%,,,,,,,,
Groceries,Snacks,Nuts,,,3.99%,6.77%,,,,,,,,
Groceries,Snacks,Other Snacks,,,5.99%,9.03%,,,,,,,,
Groceries,Snacks,Popcorn,,,5.99%,9.03%,,,,,,,,
Groceries,Snacks,PrawnFish,,,3.99%,6.77%,,,,,,,,
Groceries,Snacks,Pretzels,,,5.99%,9.03%,,,,,,,,
Groceries,Snacks,Sauces & Syrup,,,5.99%,9.03%,,,,,,,,
Groceries,Snacks,Seaweed Laver,,,5.99%,9.03%,,,,,,,,
Groceries,Snacks,Wafers,,,5.99%,9.03%,,,,,,,,
Groceries,Tobacco,Cigarettes,,,9.41%,12.89%,,,,,,,,
Groceries,Tobacco,Lighters & Matches,,,9.41%,12.89%,,,,,,,,
Groceries,Tobacco,,,,9.41%,12.89%,,,,,,,,
Groceries,Wines Beers & Alcohol,Accessories,,,4.49%,7.33%,,,,,,,,
Groceries,Wines Beers & Alcohol,Alcohol,Whisky,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Alcohol,Liquors,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Alcohol,Rum,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Alcohol,Brandy,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Alcohol,Vodka,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Alcohol,Tequila,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Alcohol,Single Malt Whisky,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Alcohol,Cognac,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Alcohol,Scotch Whisky,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Alcohol,Gin,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Alcohol,Bourbon,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Alcohol,Cocktails Mixes,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Alcohol,Japanese Whisky,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Alcohol,Others,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Beer,,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Champagnes & Sparkling Wines,,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Champagnes & Sparkling Wines,Champagnes,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Champagnes & Sparkling Wines,Sparkling Wines,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Cider,,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,SakeUmeshu,,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Wines,Red,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Wines,White,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Wines,DessertWine,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Wines,Finest Wines,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Wines,Rose,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Wines,Sherry Port & Fortified Wine,,3.99%,6.77%,,,,,,,,
Groceries,Wines Beers & Alcohol,Wines,Tasting Bundles,,3.99%,6.77%,,,,,,,,
Health & Beauty,Bath & Body,Bath & Body Accessories,,,12%,15.82%,,,,,,,,
Health & Beauty,Bath & Body,Body & Massage Oils,,,9%,12.43%,,,,,,,,
Health & Beauty,Bath & Body,Body Moisturizers,,,9%,12.43%,,,,,,,,
Health & Beauty,Bath & Body,Body Scrubs,,,9%,12.43%,,,,,,,,
Health & Beauty,Bath & Body,Body Soaps & Shower Gels,,,9%,12.43%,,,,,,,,
Health & Beauty,Bath & Body,Breast Care,,,9%,12.43%,,,,,,,,
Health & Beauty,Bath & Body,Foot Care,"Lotion, Cream and Scrubs",,9%,12.43%,,,,,,,,
Health & Beauty,Bath & Body,Foot Care,Foot Masks,,9%,12.43%,,,,,,,,
Health & Beauty,Bath & Body,Foot Care,Foot Deodorant,,9%,12.43%,,,,,,,,
Health & Beauty,Bath & Body,Gifts & Value Sets,,,9%,12.43%,,,,,,,,
Health & Beauty,Bath & Body,Hair Removal Cosmetics,,,9%,12.43%,,,,,,,,
Health & Beauty,Bath & Body,Hand Care,"Lotion, Cream and Scrubs",,6.50%,9.61%,,,,,,,,
Health & Beauty,Bath & Body,Hand Care,Hand Washes and Sanitizers,,6.50%,9.61%,,,,,,,,
Health & Beauty,Bath & Body,Hand Care,Hand Masks,,6.50%,9.61%,,,,,,,,
Health & Beauty,Bath & Body,Hand Care,Hand Sanitizers,,6.50%,9.61%,,,,,,,,
Health & Beauty,Bath & Body,Sun Care for Body,Tanning Oil & Self Tanners,,9%,12.43%,,,,,,,,
Health & Beauty,Bath & Body,Sun Care for Body,Sunscreen & After Sun,,9%,12.43%,,,,,,,,
Health & Beauty,Bath & Body,Talcum Powder,,,9%,12.43%,,,,,,,,
Health & Beauty,Beauty Services,Beauty Services,Salon Services,,10.41%,14.02%,,,,,,,,
Health & Beauty,Beauty Services,Event Management,,,10.41%,14.02%,,,,,,,,
Health & Beauty,Beauty Services,Freelancer Services,,,10.41%,14.02%,,,,,,,,
Health & Beauty,Beauty Services,Photography Services,,,10.41%,14.02%,,,,,,,,
Health & Beauty,Beauty Services,Tattoo,Tattoo Chittagong,,10.41%,14.02%,,,,,,,,
Health & Beauty,Beauty Tools,Body Slimming,,,9.00%,12.43%,,,,,,,,
Health & Beauty,Beauty Tools,Electric Massagers,,,9.00%,12.43%,,,,,,,,
Health & Beauty,Beauty Tools,Foot Relief Accessories & Tools,,,9.00%,12.43%,,,,,,,,
Health & Beauty,Beauty Tools,Hair Removal Accessories,,,9.00%,12.43%,,,,,,,,
Health & Beauty,Beauty Tools,Hair Removal Appliances,,,9.00%,12.43%,,,,,,,,
Health & Beauty,Beauty Tools,Hair Styling Appliances,Hair Dryers,,9.00%,12.43%,,,,,,,,
Health & Beauty,Beauty Tools,Hair Styling Appliances,Flat Irons,,9.00%,12.43%,,,,,,,,
Health & Beauty,Beauty Tools,Hair Styling Appliances,Straightening Combs & Brushes,,9.00%,12.43%,,,,,,,,
Health & Beauty,Beauty Tools,Hair Styling Appliances,Curling Irons & Wands,,9.00%,12.43%,,,,,,,,
Health & Beauty,Beauty Tools,Hair Styling Appliances,Multi-stylers,,9.00%,12.43%,,,,,,,,
Health & Beauty,Beauty Tools,Hair Styling Appliances,Hair Styling Sets,,9.00%,12.43%,,,,,,,,
Health & Beauty,Beauty Tools,Portable Saunas,,,9.00%,12.43%,,,,,,,,
Health & Beauty,Beauty Tools,Skin Care Tools,Face,,9.00%,12.43%,,,,,,,,
Health & Beauty,Beauty Tools,Skin Care Tools,Body,,9.00%,12.43%,,,,,,,,
Health & Beauty,Food Supplements,Beauty Supplements,Hair & Nail,,10.00%,13.56%,,,,,,,,
Health & Beauty,Food Supplements,Beauty Supplements,Acne Care,,10.00%,13.56%,,,,,,,,
Health & Beauty,Food Supplements,Beauty Supplements,Skin Nourishment,,10.00%,13.56%,,,,,,,,
Health & Beauty,Food Supplements,Beauty Supplements,Breast Enlargement,,10.00%,13.56%,,,,,,,,
Health & Beauty,Food Supplements,Beauty Supplements,Whitening,,10.00%,13.56%,,,,,,,,
Health & Beauty,Food Supplements,Beauty Supplements,Gifts & Value Sets,,10.00%,13.56%,,,,,,,,
Health & Beauty,Food Supplements,Sports Nutrition,Protein,,9.41%,12.89%,,,,,,,,
Health & Beauty,Food Supplements,Sports Nutrition,Pre-Workout,,9.41%,12.89%,,,,,,,,
Health & Beauty,Food Supplements,Sports Nutrition,Post-Workout and Recovery,,9.41%,12.89%,,,,,,,,
Health & Beauty,Food Supplements,Sports Nutrition,Mass Gainer,,9.41%,12.89%,,,,,,,,
Health & Beauty,Food Supplements,Sports Nutrition,Amino Acids,,9.41%,12.89%,,,,,,,,
Health & Beauty,Food Supplements,Sports Nutrition,Fat Burner,,9.41%,12.89%,,,,,,,,
Health & Beauty,Food Supplements,Weight Management,Fat Blockers & Burners,,13.84%,17.90%,,,,,,,,
Health & Beauty,Food Supplements,Weight Management,Slimming Beverages,,13.84%,17.90%,,,,,,,,
Health & Beauty,Food Supplements,Weight Management,Appetite Suppressant,,13.84%,17.90%,,,,,,,,
Health & Beauty,Food Supplements,Weight Management,Carb Blockers,,13.84%,17.90%,,,,,,,,
Health & Beauty,Food Supplements,Weight Management,Gifts & Value Sets,,13.84%,17.90%,,,,,,,,
Health & Beauty,Food Supplements,Weight Management,Meal Replacement,,13.84%,17.90%,,,,,,,,
Health & Beauty,Food Supplements,Well Being,Immunity,,9.91%,13.46%,,,,,,,,
Health & Beauty,Food Supplements,Well Being,Anti-Aging,,9.91%,13.46%,,,,,,,,
Health & Beauty,Food Supplements,Well Being,Multivitamins,,9.91%,13.46%,,,,,,,,
Health & Beauty,Food Supplements,Well Being,Herbs & Traditional Remedies,,9.91%,13.46%,,,,,,,,
Health & Beauty,Food Supplements,Well Being,Nutritional Foods & Drinks,,9.91%,13.46%,,,,,,,,
Health & Beauty,Food Supplements,Well Being,Sexual Health,,9.91%,13.46%,,,,,,,,
Health & Beauty,Food Supplements,Well Being,Bone & Joint Support,,9.91%,13.46%,,,,,,,,
Health & Beauty,Food Supplements,Well Being,Men's Health,,9.91%,13.46%,,,,,,,,
Health & Beauty,Food Supplements,Well Being,"Stress, Sleep, and Anxiety",,9.91%,13.46%,,,,,,,,
Health & Beauty,Food Supplements,Well Being,Digestive Care,,9.91%,13.46%,,,,,,,,
Health & Beauty,Food Supplements,Well Being,Brain & Memory,,9.91%,13.46%,,,,,,,,
Health & Beauty,Food Supplements,Well Being,Diabetic Support,,9.91%,13.46%,,,,,,,,
Health & Beauty,Food Supplements,Well Being,Detoxification,,9.91%,13.46%,,,,,,,,
Health & Beauty,Food Supplements,Well Being,Heart & Blood Pressure,,9.91%,13.46%,,,,,,,,
Health & Beauty,Food Supplements,Well Being,Women's Health,,9.91%,13.46%,,,,,,,,
Health & Beauty,Food Supplements,Well Being,Pregnancy Care,,9.91%,13.46%,,,,,,,,
Health & Beauty,Food Supplements,Well Being,Vision Care,,9.91%,13.46%,,,,,,,,
Health & Beauty,Food Supplements,Well Being,Gifts & Value Sets,,9.91%,13.46%,,,,,,,,
Health & Beauty,Fragrances,Men,,,10%,13.56%,,,,,,,,
Health & Beauty,Fragrances,Unisex,,,10%,13.56%,,,,,,,,
Health & Beauty,Fragrances,Women,,,10%,13.56%,,,,,,,,
Health & Beauty,Hair Care,Conditioner,,,6.50%,9.61%,,,,,,,,
Health & Beauty,Hair Care,Gifts & Value Sets,,,11%,14.69%,,,,,,,,
Health & Beauty,Hair Care,Hair Care Accessories,Hair Accessories,,11%,14.69%,,,,,,,,
Health & Beauty,Hair Care,Hair Care Accessories,Hair Brushes & Combs,,11%,14.69%,,,,,,,,
Health & Beauty,Hair Care,Hair Care Accessories,Wig & Hair Extensions & Pads,,11%,14.69%,,,,,,,,
Health & Beauty,Hair Care,Hair Coloring,,,6.50%,9.61%,,,,,,,,
Health & Beauty,Hair Care,Hair Oil,,,9%,12.43%,,,,,,,,
Health & Beauty,Hair Care,Hair Styling,,,8.41%,11.76%,,,,,,,,
Health & Beauty,Hair Care,Hair Treatment,,,8.41%,11.76%,,,,,,,,
Health & Beauty,Hair Care,Shampoo,,,6.50%,9.61%,,,,,,,,
Health & Beauty,Makeup,Body,Bronzers,,10.41%,14.02%,,,,,,,,
Health & Beauty,Makeup,Body,Shimmers and Glitters,,10.41%,14.02%,,,,,,,,
Health & Beauty,Makeup,Eyes,Eye Shadow,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Eyes,Mascaras,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Eyes,Eyeliners,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Eyes,Eyebrows,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Eyes,Eye Primers,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Face,Foundation,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Face,BB & CC,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Face,Compacts & Powder,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Face,Makeup Base & Primer,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Face,Concealer,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Face,Blushes,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Face,Setting & Finishing Spray,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Face,Highlighters & Contour,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Face,Bronzers,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Face,Tinted Moisturizer,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Gifts & Value Sets,,,11%,14.69%,,,,,,,,
Health & Beauty,Makeup,Lips,Lipsticks,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Lips,Liquid Lipsticks,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Lips,Lip Liners,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Lips,Lip Gloss,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Lips,Lip Tint,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Makeup Accessories,Makeup Brushes & Sets,,11%,14.69%,,,,,,,,
Health & Beauty,Makeup,Makeup Accessories,Makeup Bags & Organizers,,11%,14.69%,,,,,,,,
Health & Beauty,Makeup,Makeup Accessories,Tweezers & Razors,,11%,14.69%,,,,,,,,
Health & Beauty,Makeup,Makeup Accessories,Sponges & Applicators,,11%,14.69%,,,,,,,,
Health & Beauty,Makeup,Makeup Accessories,False Eyelashes,,11%,14.69%,,,,,,,,
Health & Beauty,Makeup,Makeup Accessories,Mirrors,,11%,14.69%,,,,,,,,
Health & Beauty,Makeup,Makeup Accessories,"Cotton Balls, Pads and Buds",,11%,14.69%,,,,,,,,
Health & Beauty,Makeup,Makeup Accessories,Eyelash Curlers,,11%,14.69%,,,,,,,,
Health & Beauty,Makeup,Makeup Accessories,Eyelid Tape & Glue,,11%,14.69%,,,,,,,,
Health & Beauty,Makeup,Makeup Accessories,Makeup Brush Cleaners,,11%,14.69%,,,,,,,,
Health & Beauty,Makeup,Makeup Accessories,Oil Blotters,,11%,14.69%,,,,,,,,
Health & Beauty,Makeup,Makeup Accessories,Pencil Sharpeners,,11%,14.69%,,,,,,,,
Health & Beauty,Makeup,Makeup Removers,,,9%,12.43%,,,,,,,,
Health & Beauty,Makeup,Makeup Sets,,,9.41%,12.89%,,,,,,,,
Health & Beauty,Makeup,Nails,Manicure Kits & Accessories,,10.41%,14.02%,,,,,,,,
Health & Beauty,Makeup,Nails,Artificial Nails,,10.41%,14.02%,,,,,,,,
Health & Beauty,Makeup,Nails,Nail Art & Stickers,,10.41%,14.02%,,,,,,,,
Health & Beauty,Makeup,Nails,Nail Polish,,10.41%,14.02%,,,,,,,,
Health & Beauty,Makeup,Nails,Nail & Cuticle Care,,10.41%,14.02%,,,,,,,,
Health & Beauty,Makeup,Nails,Top Coat & Base Coat,,10.41%,14.02%,,,,,,,,
Health & Beauty,Makeup,Nails,Nail Polish Remover,,10.41%,14.02%,,,,,,,,
Health & Beauty,Makeup,Nails,Nail Polish Sets,,10.41%,14.02%,,,,,,,,
Health & Beauty,Medical Supplies,Compression Stockings,,,8.41%,11.76%,,,,,,,,
Health & Beauty,Medical Supplies,First Aid Supplies,,,8.41%,11.76%,,,,,,,,
Health & Beauty,Medical Supplies,Health Accessories,,,9.41%,12.89%,,,,,,,,
Health & Beauty,Medical Supplies,Health Monitors & Tests,Blood Pressure Monitors,,8.41%,11.76%,,,,,,,,
Health & Beauty,Medical Supplies,Health Monitors & Tests,Blood Glucose Monitor,,8.41%,11.76%,,,,,,,,
Health & Beauty,Medical Supplies,Health Monitors & Tests,Thermometers,,8.41%,11.76%,,,,,,,,
Health & Beauty,Medical Supplies,Health Monitors & Tests,Pulse Oximeters,,8.41%,11.76%,,,,,,,,
Health & Beauty,Medical Supplies,Health Monitors & Tests,Cholesterol Monitors,,8.41%,11.76%,,,,,,,,
Health & Beauty,Medical Supplies,Health Monitors & Tests,Stress Monitors,,8.41%,11.76%,,,,,,,,
Health & Beauty,Medical Supplies,Hospital Beds,,,6.00%,9.04%,,,,,,,,
Health & Beauty,Medical Supplies,Injury Support and Braces,,,8.41%,11.76%,,,,,,,,
Health & Beauty,Medical Supplies,Medical Tests,,,8.41%,11.76%,,,,,,,,
Health & Beauty,Medical Supplies,Nebulizer & Aspirators,,,0.77%,3.13%,,,,,,,,
Health & Beauty,Medical Supplies,Ointments and Creams,,,8.41%,11.76%,,,,,,,,
Health & Beauty,Medical Supplies,Pedometers,,,8.41%,11.76%,,,,,,,,
Health & Beauty,Medical Supplies,Scale & Body Fat Analyzers,,,8.41%,11.76%,,,,,,,,
Health & Beauty,Medical Supplies,Stethoscopes,,,6.00%,9.04%,,,,,,,,
Health & Beauty,Medical Supplies,Wheelchairs,,,6.00%,9.04%,,,,,,,,
Health & Beauty,Men's Care,Bath & Body,Body Moisturizers,,6.50%,9.61%,,,,,,,,
Health & Beauty,Men's Care,Bath & Body,Body Scrub,,6.50%,9.61%,,,,,,,,
Health & Beauty,Men's Care,Bath & Body,Body Soap & Shower Gel,,4.99%,7.90%,,,,,,,,
Health & Beauty,Men's Care,Deodorants,,,8.00%,11.30%,,,,,,,,
Health & Beauty,Men's Care,Hair Care,Hair Styling,,8.41%,11.76%,,,,,,,,
Health & Beauty,Men's Care,Hair Care,Shampoo,,6.50%,9.61%,,,,,,,,
Health & Beauty,Men's Care,Hair Care,Hair Treatments,,8.41%,11.76%,,,,,,,,
Health & Beauty,Men's Care,Hair Care,Hair Coloring,,6.50%,9.61%,,,,,,,,
Health & Beauty,Men's Care,Hair Care,Conditioner,,6.50%,9.61%,,,,,,,,
Health & Beauty,Men's Care,Hair Care,Gifts & Value Sets,,9%,12.43%,,,,,,,,
Health & Beauty,Men's Care,Shaving & Grooming,Trimmers Groomers & Clippers,,13%,16.95%,,,,,,,,
Health & Beauty,Men's Care,Shaving & Grooming,Shavers,,8.41%,11.76%,,,,,,,,
Health & Beauty,Men's Care,Shaving & Grooming,Razors Blades & Cartridges,,6.41%,9.50%,,,,,,,,
Health & Beauty,Men's Care,Shaving & Grooming,Razors & Blades,,6.41%,9.50%,,,,,,,,
Health & Beauty,Men's Care,Shaving & Grooming,"Creams, Foams & Gels",,6.41%,9.50%,,,,,,,,
Health & Beauty,Men's Care,Shaving & Grooming,Aftershave,,6.41%,9.50%,,,,,,,,
Health & Beauty,Men's Care,Shaving & Grooming,Shaving Brushes,,10.41%,14.02%,,,,,,,,
Health & Beauty,Men's Care,Shaving & Grooming,Razors & Blades,,4.99%,7.90%,,,,,,,,
Health & Beauty,Men's Care,Skin Care,Facial Cleanser,,6.41%,9.50%,,,,,,,,
Health & Beauty,Men's Care,Skin Care,Moisturizers and Cream,,6.41%,9.50%,,,,,,,,
Health & Beauty,Men's Care,Skin Care,Moisturizers and Cream,,6.41%,9.50%,,,,,,,,
Health & Beauty,Men's Care,Skin Care,Moisturizers and Cream,,6.41%,9.50%,,,,,,,,
Health & Beauty,Men's Care,Skin Care,Serum & Essence,,6.41%,9.50%,,,,,,,,
Health & Beauty,Men's Care,Skin Care,Toners & Mists,,6.41%,9.50%,,,,,,,,
Health & Beauty,Men's Care,Skin Care,Face Mask & Packs,,6.41%,9.50%,,,,,,,,
Health & Beauty,Men's Care,Skin Care,Gifts & Value Sets,,6.41%,9.50%,,,,,,,,
Health & Beauty,Men's Care,Skin Care,Face ScrubsÂ¬â€ & Exfoliators,,6.41%,9.50%,,,,,,,,
Health & Beauty,Over The Counter Medicine,Anti-Inflammatory,,,9%,12.43%,,,,,,,,
Health & Beauty,Over The Counter Medicine,Antibacterial & Antifungal,,,9%,12.43%,,,,,,,,
Health & Beauty,Over The Counter Medicine,Antiseptics,,,9%,12.43%,,,,,,,,
Health & Beauty,Over The Counter Medicine,Constipation,,,9%,12.43%,,,,,,,,
Health & Beauty,Over The Counter Medicine,"Coughs, Colds & Flu",,,9%,12.43%,,,,,,,,
Health & Beauty,Over The Counter Medicine,Diabetic,,,9%,12.43%,,,,,,,,
Health & Beauty,Over The Counter Medicine,Diagnostic Kits,,,9%,12.43%,,,,,,,,
Health & Beauty,Over The Counter Medicine,Diarrhea & Vomiting,,,9%,12.43%,,,,,,,,
Health & Beauty,Over The Counter Medicine,"Eye, Nose, Throat Care",,,9%,12.43%,,,,,,,,
Health & Beauty,Over The Counter Medicine,Herbal,,,9%,12.43%,,,,,,,,
Health & Beauty,Over The Counter Medicine,Indigestion & Heartburn,,,9%,12.43%,,,,,,,,
Health & Beauty,Over The Counter Medicine,Pain Relief & Fever,,,9%,12.43%,,,,,,,,
Health & Beauty,Over The Counter Medicine,Scar Care,,,9%,12.43%,,,,,,,,
Health & Beauty,Over The Counter Medicine,Topical Analgesics,,,9%,12.43%,,,,,,,,
Health & Beauty,Personal Care,Adult Diapers & Incontinence,,,10.41%,14.02%,,,,,,,,
Health & Beauty,Personal Care,Deodorants,,,8.00%,11.30%,,,,,,,,
Health & Beauty,Personal Care,Ear Care,,,11.41%,15.15%,,,,,,,,
Health & Beauty,Personal Care,Eye Care,Eye Drops,,9.41%,12.89%,,,,,,,,
Health & Beauty,Personal Care,Eye Care,Contact Lens,,9.41%,12.89%,,,,,,,,
Health & Beauty,Personal Care,Eye Care,Contact Lens,,9.41%,12.89%,,,,,,,,
Health & Beauty,Personal Care,Eye Care,Contact Lens Care & Accessories,,9.41%,12.89%,,,,,,,,
Health & Beauty,Personal Care,Feminine Care,Sanitary Napkins,,7.00%,10.17%,,,,,,,,
Health & Beauty,Personal Care,Feminine Care,Menstrual Cups,,8.41%,11.76%,,,,,,,,
Health & Beauty,Personal Care,Feminine Care,Pregnancy & Fertility,,9.41%,12.89%,,,,,,,,
Health & Beauty,Personal Care,Feminine Care,Panty Liners,,8.41%,11.76%,,,,,,,,
Health & Beauty,Personal Care,Feminine Care,Feminine Wash,,9.41%,12.89%,,,,,,,,
Health & Beauty,Personal Care,Feminine Care,Vaginal Cream,,9.41%,12.89%,,,,,,,,
Health & Beauty,Personal Care,Feminine Care,Tampons,,7.00%,10.17%,,,,,,,,
Health & Beauty,Personal Care,Oral Care,Electric Toothbrushes,,8.41%,11.76%,,,,,,,,
Health & Beauty,Personal Care,Oral Care,Toothpaste,,6.00%,9.04%,,,,,,,,
Health & Beauty,Personal Care,Oral Care,Teeth whitening,,8.41%,11.76%,,,,,,,,
Health & Beauty,Personal Care,Oral Care,Oral Care Accessories,,8.41%,11.76%,,,,,,,,
Health & Beauty,Personal Care,Oral Care,Dental Flosses & Sticks,,8.41%,11.76%,,,,,,,,
Health & Beauty,Personal Care,Oral Care,Toothbrushes,,6.00%,9.04%,,,,,,,,
Health & Beauty,Personal Care,Oral Care,Mouthwash,,6.00%,9.04%,,,,,,,,
Health & Beauty,Personal Care,Oral Care,Toothbrush Replacement Heads,,8.41%,11.76%,,,,,,,,
Health & Beauty,Personal Care,Oral Care,Denture Care,,8.41%,11.76%,,,,,,,,
Health & Beauty,Personal Care,Personal Safety & Security,,,10.41%,14.02%,,,,,,,,
Health & Beauty,Sexual Wellness,Condoms,,,14.00%,18.08%,,,,,,,,
Health & Beauty,Sexual Wellness,Lubricants,,,14.00%,18.08%,,,,,,,,
Health & Beauty,Sexual Wellness,Sensual Toys,,,17.00%,21.47%,,,,,,,,
Health & Beauty,Skin Care,Dermacare,Sunscreen and Aftersun,,3.99%,6.77%,,,,,,,,
Health & Beauty,Skin Care,Dermacare,Moisturizers and Cream,,3.99%,6.77%,,,,,,,,
Health & Beauty,Skin Care,Dermacare,Moisturizers and Cream,,3.99%,6.77%,,,,,,,,
Health & Beauty,Skin Care,Dermacare,Moisturizers and Cream,,3.99%,6.77%,,,,,,,,
Health & Beauty,Skin Care,Dermacare,Toner & Mists,,3.99%,6.77%,,,,,,,,
Health & Beauty,Skin Care,Dermacare,Gifts & Value Sets,,3.99%,6.77%,,,,,,,,
Health & Beauty,Skin Care,Eye Care,,,9.41%,12.89%,,,,,,,,
Health & Beauty,Skin Care,Face Mask & Packs,,,11.41%,15.15%,,,,,,,,
Health & Beauty,Skin Care,Face Scrubs & Exfoliators,,,9.41%,12.89%,,,,,,,,
Health & Beauty,Skin Care,Facial Cleansers,,,9.41%,12.89%,,,,,,,,
Health & Beauty,Skin Care,Gifts & Value Sets,,,11%,14.69%,,,,,,,,
Health & Beauty,Skin Care,Lip Balm and Treatment,,,8.41%,11.76%,,,,,,,,
Health & Beauty,Skin Care,Moisturizers and Cream,Moisturizers,,9%,12.43%,,,,,,,,
Health & Beauty,Skin Care,Moisturizers and Cream,Facial Oils,,9%,12.43%,,,,,,,,
Health & Beauty,Skin Care,Moisturizers and Cream,Night Cream,,9%,12.43%,,,,,,,,
Health & Beauty,Skin Care,Moisturizers and Cream,Neck & Decollete,,9%,12.43%,,,,,,,,
Health & Beauty,Skin Care,Serum & Essence,,,9.41%,12.89%,,,,,,,,
Health & Beauty,Skin Care,Sunscreen and Aftersun,,,9.41%,12.89%,,,,,,,,
Health & Beauty,Skin Care,Toner & Mists,,,9.41%,12.89%,,,,,,,,
Home Appliances,Appliances Parts & Accessories,Air Conditioner Accessories,,,12.20%,16.05%,,,,,,,,
Home Appliances,Appliances Parts & Accessories,Air Purifier Accessories,,,12.20%,16.05%,,,,,,,,
Home Appliances,Appliances Parts & Accessories,Coffee Machine Accessories,,,12.20%,16.05%,,,,,,,,
Home Appliances,Appliances Parts & Accessories,Cooktop Parts & Accessories,,,12.20%,16.05%,,,,,,,,
